reference,target,split_name,semi_empirical_feature_group,reference_feature_group,n_conditions,mean_gain_reference_minus_semi,median_gain_reference_minus_semi,win_rate_semi_beats_reference,worst_condition_gain
hgb_f4,capacity_Ah_k1,c_rate_holdout_fold,SE3_c_rate_interactions,F4_state_log_age_scalar,12,-0.09797158945318256,-0.07027054274341145,0.16666666666666666,-0.20713628172500334
hgb_f4,capacity_Ah_k1,condition_fold,SE3_c_rate_interactions,F4_state_log_age_scalar,76,-0.02708010740326389,-0.01659765194064851,0.10526315789473684,-0.15391097209959015
hgb_f4,capacity_Ah_k1,profile_holdout_fold,SE3_c_rate_interactions,F4_state_log_age_scalar,12,0.004178026281563473,0.01755525381536134,0.6666666666666666,-0.07282954913340003
hgb_f4,capacity_Ah_k1,temperature_holdout_fold,SE1_calendar_cycling,F4_state_log_age_scalar,38,-0.04672497440609768,-0.015279287605505593,0.15789473684210525,-0.32038860505265976
hgb_f4,capacity_Ah_k1,voltage_window_holdout_fold,SE4_coupled_stress,F4_state_log_age_scalar,76,-0.024878043078500164,-0.010545166867509087,0.42105263157894735,-0.16987339427583242
hgb_f4,delta_capacity_Ah,c_rate_holdout_fold,SE3_c_rate_interactions,F4_state_log_age_scalar,12,-0.12196197493085321,-0.13600601888288943,0.08333333333333333,-0.2355050935786309
hgb_f4,delta_capacity_Ah,condition_fold,SE3_c_rate_interactions,F4_state_log_age_scalar,76,-0.03633779011939561,-0.020789665543869337,0.039473684210526314,-0.2640601489808857
hgb_f4,delta_capacity_Ah,profile_holdout_fold,SE3_c_rate_interactions,F4_state_log_age_scalar,12,0.029045567151074255,0.0487469761322781,0.75,-0.09385360407531863
hgb_f4,delta_capacity_Ah,temperature_holdout_fold,SE1_calendar_cycling,F4_state_log_age_scalar,38,-0.06753910554514926,-0.03154244076453968,0.10526315789473684,-0.3970050247047667
hgb_f4,delta_capacity_Ah,voltage_window_holdout_fold,SE4_coupled_stress,F4_state_log_age_scalar,76,-0.035190280380300865,-0.0244249657646039,0.3684210526315789,-0.21626279900612866
best_stress,capacity_Ah_k1,c_rate_holdout_fold,SE3_c_rate_interactions,F5_log_age_histograms,12,-0.10255266469466799,-0.10271828720175188,0.16666666666666666,-0.1923089271374776
best_stress,capacity_Ah_k1,condition_fold,SE3_c_rate_interactions,F6_coupled_stress,76,-0.02811581855235165,-0.01948923846742618,0.07894736842105263,-0.1406162092863093
best_stress,capacity_Ah_k1,temperature_holdout_fold,SE1_calendar_cycling,F6_coupled_stress,38,-0.05190275467231414,-0.0226189460071987,0.13157894736842105,-0.3123913234843927
best_stress,capacity_Ah_k1,voltage_window_holdout_fold,SE4_coupled_stress,F10_c_rate_v1_1,76,-0.013898291748876967,-0.0033303874753056427,0.4605263157894737,-0.18049311543224056
best_stress,delta_capacity_Ah,c_rate_holdout_fold,SE3_c_rate_interactions,F8_timestamp_weighted_stress,12,-0.12057895791011491,-0.13352156063395762,0.16666666666666666,-0.22210116497007393
best_stress,delta_capacity_Ah,condition_fold,SE3_c_rate_interactions,F8_timestamp_weighted_stress,76,-0.0392155713640213,-0.021029838603593393,0.06578947368421052,-0.2985939039465744
best_stress,delta_capacity_Ah,temperature_holdout_fold,SE1_calendar_cycling,F6_coupled_stress,38,-0.06804216622318794,-0.03442453736973846,0.05263157894736842,-0.3326983905853984
best_stress,delta_capacity_Ah,voltage_window_holdout_fold,SE4_coupled_stress,F10_c_rate_v1_1,76,-0.034455842969275265,-0.008695852359909897,0.4342105263157895,-0.1935209522724565
