run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,L4_semi_empirical_ridge,SE0_time_efc,capacity_Ah_k1,c_rate_holdout_fold,1,0.18473446472357935,0.28656993090531013,0.2711584840543569,0.23484075252183895,0.507865944734815,,,,,,157,12
primary,L4_semi_empirical_ridge,SE0_time_efc,capacity_Ah_k1,condition_fold,5,0.0576277241480768,0.10852144654908369,0.11033169732305612,0.08020546252885821,0.5030693182925663,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE0_time_efc,capacity_Ah_k1,profile_holdout_fold,1,0.06848943766903318,0.10352447084103071,0.08796039203819987,0.07075289851319483,0.25756044745896794,,,,,,752,12
primary,L4_semi_empirical_ridge,SE0_time_efc,capacity_Ah_k1,temperature_holdout_fold,2,0.05951067424598128,0.12333699154115951,0.11803486941283892,0.085458369723903,0.43042150772326,,,,,,1802,38
primary,L4_semi_empirical_ridge,SE0_time_efc,capacity_Ah_k1,voltage_window_holdout_fold,3,0.0708998812604298,0.10325207318407083,0.10618723219557002,0.07478548129407141,0.49272932126011443,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE0_time_efc,delta_capacity_Ah,c_rate_holdout_fold,1,0.1847781762623521,0.2865923203497725,0.2712141065510414,0.23485739230257996,0.5079410546566331,,,,,,157,12
primary,L4_semi_empirical_ridge,SE0_time_efc,delta_capacity_Ah,condition_fold,5,0.05764432823222769,0.1085224995094132,0.11035183542955948,0.08026701043845937,0.5031429988993321,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE0_time_efc,delta_capacity_Ah,profile_holdout_fold,1,0.06855422112118799,0.10354531925594665,0.08800503132994376,0.07082893365414236,0.2574744190881007,,,,,,752,12
primary,L4_semi_empirical_ridge,SE0_time_efc,delta_capacity_Ah,temperature_holdout_fold,2,0.0595267141186132,0.12333103022368491,0.11805096339571691,0.08546749890372173,0.4304814328293413,,,,,,1802,38
primary,L4_semi_empirical_ridge,SE0_time_efc,delta_capacity_Ah,voltage_window_holdout_fold,3,0.07083796442561989,0.10319096535346417,0.10612694840486042,0.07468446722452991,0.49274394888473055,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,capacity_Ah_k1,c_rate_holdout_fold,1,0.17917444758328988,0.2777886614440701,0.2645624841356919,0.23209298267633205,0.5055900311027428,,,,,,157,12
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,capacity_Ah_k1,condition_fold,5,0.0546604108015908,0.1057487251761066,0.10735983476824336,0.07494562773765887,0.5012188632790779,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,capacity_Ah_k1,profile_holdout_fold,1,0.06129023747498633,0.10319806481389261,0.08378460291970823,0.060322853457951325,0.25974635765632254,,,,,,752,12
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,capacity_Ah_k1,temperature_holdout_fold,2,0.05839990810260692,0.12045014811032051,0.11601887173988493,0.08623402145277459,0.4280510326628903,,,,,,1802,38
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,capacity_Ah_k1,voltage_window_holdout_fold,3,0.0710241152311462,0.10349301799944553,0.10692423194307128,0.07564152444430093,0.4921896453490608,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,delta_capacity_Ah,c_rate_holdout_fold,1,0.17941031658760803,0.2778803217701893,0.26454404324675945,0.23270117023281456,0.5055824214085859,,,,,,157,12
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,delta_capacity_Ah,condition_fold,5,0.054631582454953045,0.10575371171087358,0.10734370522270742,0.0748315551517245,0.5012386654573887,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,delta_capacity_Ah,profile_holdout_fold,1,0.06119819111145363,0.10326024970781768,0.08374745565989693,0.06015994449257725,0.2597121379328223,,,,,,752,12
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,delta_capacity_Ah,temperature_holdout_fold,2,0.058499163426934016,0.12056907926626012,0.11611387320749687,0.0867695329991699,0.4280519237155056,,,,,,1802,38
primary,L4_semi_empirical_ridge,SE1_calendar_cycling,delta_capacity_Ah,voltage_window_holdout_fold,3,0.07096361278496739,0.10347271456970547,0.10689464326508448,0.0758286577713504,0.49218952647992836,,,,,,3827,76
primary,L4_semi_empirical_ridge,SE2_temperature_voltage,capacity_Ah_k1,c_rate_holdout_fold,1,0.1635351482369561,0.25632751759782385,0.2285516277161841,0.20413221822990724,0.4447338889518373,,,,,,157,12
