base_train_one_class,calibration_negative_count,calibration_positive_count,fit_negative_count,fit_positive_count,heldout_fold,label_policy,n_calibration,n_calibration_conditions,n_fit,n_fit_conditions,partition_status,split_name,target
False,534,38,2318,93,0,all_rows,572,15,2411,45,passed,condition_fold,event_within_1_checkup
False,389,34,1177,97,0,verified_only,423,12,1274,33,passed,condition_fold,event_within_1_checkup
False,855,66,1866,196,0,all_rows,921,15,2062,45,passed,condition_fold,event_within_2_checkups
False,449,72,986,190,0,verified_only,521,12,1176,33,passed,condition_fold,event_within_2_checkups
False,655,96,1959,273,0,all_rows,751,15,2232,45,passed,condition_fold,event_within_3_checkups
False,206,99,1122,270,0,verified_only,305,12,1392,33,passed,condition_fold,event_within_3_checkups
False,693,39,2124,106,1,all_rows,732,16,2230,45,passed,condition_fold,event_within_1_checkup
False,524,38,1326,107,1,verified_only,562,13,1433,37,passed,condition_fold,event_within_1_checkup
False,747,80,1925,210,1,all_rows,827,16,2135,45,passed,condition_fold,event_within_2_checkups
False,422,76,1283,214,1,verified_only,498,13,1497,37,passed,condition_fold,event_within_2_checkups
False,677,114,1872,299,1,all_rows,791,16,2171,45,passed,condition_fold,event_within_3_checkups
False,427,114,1155,299,1,verified_only,541,13,1454,37,passed,condition_fold,event_within_3_checkups
False,838,34,1953,110,2,all_rows,872,16,2063,45,passed,condition_fold,event_within_1_checkup
False,440,35,1399,109,2,verified_only,475,13,1508,37,passed,condition_fold,event_within_1_checkup
False,856,72,1791,216,2,all_rows,928,16,2007,45,passed,condition_fold,event_within_2_checkups
False,521,78,1174,210,2,verified_only,599,13,1384,37,passed,condition_fold,event_within_2_checkups
False,585,114,1940,296,2,all_rows,699,16,2236,45,passed,condition_fold,event_within_3_checkups
False,432,111,1141,299,2,verified_only,543,13,1440,37,passed,condition_fold,event_within_3_checkups
False,891,33,2292,102,3,all_rows,924,16,2394,45,passed,condition_fold,event_within_1_checkup
False,559,36,1395,99,3,verified_only,595,12,1494,35,passed,condition_fold,event_within_1_checkup
False,867,74,2181,196,3,all_rows,941,16,2377,45,passed,condition_fold,event_within_2_checkups
False,451,68,1368,202,3,verified_only,519,12,1570,35,passed,condition_fold,event_within_2_checkups
False,945,93,1984,296,3,all_rows,1038,16,2280,45,passed,condition_fold,event_within_3_checkups
False,412,99,1288,290,3,verified_only,511,12,1578,35,passed,condition_fold,event_within_3_checkups
