bin,bin_left,bin_right,calibration_method,label_policy,mean_probability,observed_rate,positive_count,row_count,split_name,target
0,0.0,0.1,C0_raw_hgb_w2,all_rows,0.002182578199416834,0.08955223880597014,12,134,c_rate_holdout_fold,event_within_1_checkup
2,0.2,0.3,C0_raw_hgb_w2,all_rows,0.22103724724390106,1.0,6,6,c_rate_holdout_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,all_rows,0.31385061112532453,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,all_rows,0.5813062304353193,0.5,1,2,c_rate_holdout_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,all_rows,0.6435403302281409,0.6666666666666666,2,3,c_rate_holdout_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,all_rows,0.7855481852036259,1.0,1,1,c_rate_holdout_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,all_rows,0.9614813697130316,0.9,9,10,c_rate_holdout_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,all_rows,0.0017983333838526405,0.008391608391608392,30,3575,condition_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,all_rows,0.14035228213866105,0.3023255813953488,13,43,condition_fold,event_within_1_checkup
2,0.2,0.3,C0_raw_hgb_w2,all_rows,0.24171547062726478,0.36,9,25,condition_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,all_rows,0.3542017334334881,0.1875,3,16,condition_fold,event_within_1_checkup
4,0.4,0.5,C0_raw_hgb_w2,all_rows,0.448194399764515,0.2,2,10,condition_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,all_rows,0.5543942765255544,0.5294117647058824,9,17,condition_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,all_rows,0.6411662941356806,0.5,8,16,condition_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,all_rows,0.7617002172627136,0.5789473684210527,11,19,condition_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,all_rows,0.8493578909723704,0.6190476190476191,13,21,condition_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,all_rows,0.9674907965827496,0.8823529411764706,75,85,condition_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,all_rows,0.0020350238373594925,0.008658008658008658,6,693,profile_holdout_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,all_rows,0.1131314582150671,0.6666666666666666,2,3,profile_holdout_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,all_rows,0.34279733517992533,0.6666666666666666,2,3,profile_holdout_fold,event_within_1_checkup
4,0.4,0.5,C0_raw_hgb_w2,all_rows,0.44037004813582825,0.0,0,4,profile_holdout_fold,event_within_1_checkup
5,0.5,0.6,C0_raw_hgb_w2,all_rows,0.5411448357369766,0.5,1,2,profile_holdout_fold,event_within_1_checkup
6,0.6,0.7,C0_raw_hgb_w2,all_rows,0.6665696772124851,0.0,0,2,profile_holdout_fold,event_within_1_checkup
7,0.7,0.8,C0_raw_hgb_w2,all_rows,0.7458101666828642,0.25,1,4,profile_holdout_fold,event_within_1_checkup
8,0.8,0.9,C0_raw_hgb_w2,all_rows,0.8397116357065864,0.5,3,6,profile_holdout_fold,event_within_1_checkup
9,0.9,1.0,C0_raw_hgb_w2,all_rows,0.9723470965118983,0.6,21,35,profile_holdout_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,all_rows,0.0021462268300672786,0.016489988221436984,28,1698,temperature_holdout_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,all_rows,0.151327015146819,0.125,2,16,temperature_holdout_fold,event_within_1_checkup
2,0.2,0.3,C0_raw_hgb_w2,all_rows,0.2369017653473523,0.36363636363636365,4,11,temperature_holdout_fold,event_within_1_checkup
3,0.3,0.4,C0_raw_hgb_w2,all_rows,0.35662291530469936,0.42857142857142855,3,7,temperature_holdout_fold,event_within_1_checkup
