feature_group,label_policy,mean_auprc,mean_auroc,mean_brier,mean_ece_10_bin,mean_ece_10_bin_equal_freq,model_level,n_rows,target
prior_rate,all_rows,0.07384918370423414,0.5,0.05827541646154641,0.033093059231068075,0.046733653907600904,B0_event_rate_prior,12,event_within_1_checkup
distance_to_threshold,all_rows,0.1764193553901371,0.7315772815360906,0.055024849221314724,0.028917221401891933,0.037404011856678444,B3_logistic_distance_baseline,12,event_within_1_checkup
W2_nominal,all_rows,0.8047523368611224,0.9701520079769038,0.030352697365249554,0.030533667899610317,0.023865442625769714,B6_hist_gradient_boosting_classifier,12,event_within_1_checkup
prior_rate,all_rows,0.1459469471304583,0.5,0.11064618426962229,0.06618611846213615,0.0931398683914952,B0_event_rate_prior,12,event_within_2_checkups
distance_to_threshold,all_rows,0.24436499630956757,0.6668211648606889,0.10295287349620036,0.05986457870674774,0.07070270296102756,B3_logistic_distance_baseline,12,event_within_2_checkups
W2_nominal,all_rows,0.7929061783925794,0.9384676696936901,0.052573592546460234,0.046688690682034246,0.04156645873578234,B6_hist_gradient_boosting_classifier,12,event_within_2_checkups
prior_rate,all_rows,0.18189869152123028,0.5,0.1457910418404461,0.08776493738658843,0.12507612101785784,B0_event_rate_prior,12,event_within_3_checkups
distance_to_threshold,all_rows,0.30734088410495813,0.6544037746904793,0.13271104580182466,0.09037766765588108,0.09731355267741161,B3_logistic_distance_baseline,12,event_within_3_checkups
W2_nominal,all_rows,0.7919046961326711,0.9391211789259776,0.06557507192595002,0.05661684545645516,0.050662769919570305,B6_hist_gradient_boosting_classifier,12,event_within_3_checkups
prior_rate,verified_only,0.1266815847299785,0.5,0.0757576959675383,0.03210848168809843,0.04631199926423219,B0_event_rate_prior,12,event_within_1_checkup
distance_to_threshold,verified_only,0.21224524522611884,0.6552135139850984,0.07173507209475062,0.03645300603638637,0.05403910956914124,B3_logistic_distance_baseline,12,event_within_1_checkup
W2_nominal,verified_only,0.841839300589713,0.970898506716178,0.03652539428240694,0.037058244562394774,0.02995525334183864,B6_hist_gradient_boosting_classifier,12,event_within_1_checkup
prior_rate,verified_only,0.24933555009970187,0.5,0.13918954063950095,0.06421696337619685,0.09303023228174317,B0_event_rate_prior,12,event_within_2_checkups
distance_to_threshold,verified_only,0.28723277524714813,0.5756400924133512,0.1322920640687338,0.07100034188625762,0.1046982773611307,B3_logistic_distance_baseline,12,event_within_2_checkups
W2_nominal,verified_only,0.8264713726156602,0.9477807359288883,0.06792833097831306,0.06211156616119656,0.05705062248259856,B6_hist_gradient_boosting_classifier,12,event_within_2_checkups
prior_rate,verified_only,0.30427934625404524,0.5,0.17865530818336808,0.07758490586542552,0.1169464927690269,B0_event_rate_prior,12,event_within_3_checkups
distance_to_threshold,verified_only,0.36138665515370844,0.5791446163076365,0.16849209814217478,0.08874968583547284,0.13257927668807062,B3_logistic_distance_baseline,12,event_within_3_checkups
W2_nominal,verified_only,0.8302233126348594,0.9435486718099272,0.09011601732726354,0.08699463476496888,0.08485133101675563,B6_hist_gradient_boosting_classifier,12,event_within_3_checkups
