auprc,auroc,brier,ece_10_bin,feature_group,group_field,group_value,model_level,negative_count,positive_count,row_count,split_name,target
,,0.0014760670878839399,0.03841961852861035,prior_rate,lead_time_bin,at_or_below_threshold_at_k,B0_event_rate_prior,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0014760670878839399,0.03841961852861035,prior_rate,lead_time_bin,event_later_than_3_checkups,B0_event_rate_prior,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.9246368300306633,0.9615803814713897,prior_rate,lead_time_bin,event_next_checkup,B0_event_rate_prior,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0014760670878839399,0.03841961852861035,prior_rate,lead_time_bin,event_within_2_checkups_not_next,B0_event_rate_prior,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0014760670878839399,0.03841961852861035,prior_rate,lead_time_bin,event_within_3_checkups_not_1_or_2,B0_event_rate_prior,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.0014760670878839399,0.03841961852861035,prior_rate,lead_time_bin,right_censored_unknown,B0_event_rate_prior,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.5625,0.75,distance_to_threshold,lead_time_bin,at_or_below_threshold_at_k,B1_distance_to_threshold_rule,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0001,0.01,distance_to_threshold,lead_time_bin,event_later_than_3_checkups,B1_distance_to_threshold_rule,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.607325,0.689375,distance_to_threshold,lead_time_bin,event_next_checkup,B1_distance_to_threshold_rule,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0704,0.10250000000000001,distance_to_threshold,lead_time_bin,event_within_2_checkups_not_next,B1_distance_to_threshold_rule,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.10555,0.14875,distance_to_threshold,lead_time_bin,event_within_3_checkups_not_1_or_2,B1_distance_to_threshold_rule,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.0001,0.01,distance_to_threshold,lead_time_bin,right_censored_unknown,B1_distance_to_threshold_rule,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.6400000000000001,0.8,distance_to_threshold,lead_time_bin,at_or_below_threshold_at_k,B2_linear_extrapolation_to_threshold,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.07121824779883865,0.09862549197699061,distance_to_threshold,lead_time_bin,event_later_than_3_checkups,B2_linear_extrapolation_to_threshold,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.12785135077381965,0.2739194482288828,distance_to_threshold,lead_time_bin,event_next_checkup,B2_linear_extrapolation_to_threshold,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.22007075719342342,0.28180091961852866,distance_to_threshold,lead_time_bin,event_within_2_checkups_not_next,B2_linear_extrapolation_to_threshold,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.28006651438684677,0.35610183923705724,distance_to_threshold,lead_time_bin,event_within_3_checkups_not_1_or_2,B2_linear_extrapolation_to_threshold,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.2134072991195355,0.27367241901301853,distance_to_threshold,lead_time_bin,right_censored_unknown,B2_linear_extrapolation_to_threshold,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.05464889269262941,0.19099073034010516,distance_to_threshold,lead_time_bin,at_or_below_threshold_at_k,B3_logistic_distance_baseline,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.00164399054769617,0.03573414101252883,distance_to_threshold,lead_time_bin,event_later_than_3_checkups,B3_logistic_distance_baseline,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.7889642416994298,0.8853798088275748,distance_to_threshold,lead_time_bin,event_next_checkup,B3_logistic_distance_baseline,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0026118999513932,0.03901901268792714,distance_to_threshold,lead_time_bin,event_within_2_checkups_not_next,B3_logistic_distance_baseline,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.00315754551324201,0.04911147126518986,distance_to_threshold,lead_time_bin,event_within_3_checkups_not_1_or_2,B3_logistic_distance_baseline,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.0017865407044321908,0.03519600650673242,distance_to_threshold,lead_time_bin,right_censored_unknown,B3_logistic_distance_baseline,9,0,9,c_rate_holdout_fold,event_within_1_checkup
,,0.01028688283027805,0.09049984542552468,W0_capacity_state,lead_time_bin,at_or_below_threshold_at_k,B4_logistic_regression,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0005461505072492579,0.02257939512863078,W0_capacity_state,lead_time_bin,event_later_than_3_checkups,B4_logistic_regression,36,0,36,c_rate_holdout_fold,event_within_1_checkup
1.0,,0.9303263230696356,0.964490293998114,W0_capacity_state,lead_time_bin,event_next_checkup,B4_logistic_regression,0,32,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0006866486214161899,0.024313316776042034,W0_capacity_state,lead_time_bin,event_within_2_checkups_not_next,B4_logistic_regression,32,0,32,c_rate_holdout_fold,event_within_1_checkup
,,0.0007642438985716609,0.02630955056760794,W0_capacity_state,lead_time_bin,event_within_3_checkups_not_1_or_2,B4_logistic_regression,16,0,16,c_rate_holdout_fold,event_within_1_checkup
,,0.00048747802382883936,0.021423445459290452,W0_capacity_state,lead_time_bin,right_censored_unknown,B4_logistic_regression,9,0,9,c_rate_holdout_fold,event_within_1_checkup
