auprc,auroc,brier,ece_10_bin,ece_10_bin_equal_freq,feature_group,group_field,group_value,model_level,negative_count,positive_count,row_count,split_name,target
,,0.014092748273299522,0.11756686407709734,0.11756686407709735,prior_rate,lead_time_bin,at_or_below_threshold_at_k,B0_event_rate_prior,2440,0,2440,all,event_within_3_checkups
,,0.014699997155307376,0.11982010906862048,0.11982010906862048,prior_rate,lead_time_bin,event_later_than_3_checkups,B0_event_rate_prior,3139,0,3139,all,event_within_3_checkups
1.0,,0.7802460185462825,0.8831747128508818,0.8831747128508817,prior_rate,lead_time_bin,event_next_checkup,B0_event_rate_prior,0,506,506,all,event_within_3_checkups
1.0,,0.7802460185462825,0.8831747128508818,0.8831747128508817,prior_rate,lead_time_bin,event_within_2_checkups_not_next,B0_event_rate_prior,0,506,506,all,event_within_3_checkups
1.0,,0.7793120920222147,0.8826386596622604,0.8826386596622604,prior_rate,lead_time_bin,event_within_3_checkups_not_1_or_2,B0_event_rate_prior,0,427,427,all,event_within_3_checkups
,,0.024014422810493763,0.15154578296284416,0.15154578296284418,prior_rate,lead_time_bin,right_censored_unknown,B0_event_rate_prior,3347,0,3347,all,event_within_3_checkups
,,0.04599276611371391,0.163960936488128,0.16396093648812804,distance_to_threshold,lead_time_bin,at_or_below_threshold_at_k,B3_logistic_distance_baseline,2440,0,2440,all,event_within_3_checkups
,,0.02247059001434169,0.14161021746871502,0.14161021746871502,distance_to_threshold,lead_time_bin,event_later_than_3_checkups,B3_logistic_distance_baseline,3139,0,3139,all,event_within_3_checkups
1.0,,0.6099715957821313,0.766939195658461,0.7669391956584611,distance_to_threshold,lead_time_bin,event_next_checkup,B3_logistic_distance_baseline,0,506,506,all,event_within_3_checkups
1.0,,0.6932665383368168,0.8282002949151137,0.8282002949151137,distance_to_threshold,lead_time_bin,event_within_2_checkups_not_next,B3_logistic_distance_baseline,0,506,506,all,event_within_3_checkups
1.0,,0.7037216483776086,0.8354748508134892,0.8354748508134893,distance_to_threshold,lead_time_bin,event_within_3_checkups_not_1_or_2,B3_logistic_distance_baseline,0,427,427,all,event_within_3_checkups
,,0.011403439838325034,0.09244360493126406,0.09244360493126405,distance_to_threshold,lead_time_bin,right_censored_unknown,B3_logistic_distance_baseline,3347,0,3347,all,event_within_3_checkups
,,0.001720081701937134,0.004817510967669353,0.004817510967669352,W0_capacity_state,lead_time_bin,at_or_below_threshold_at_k,B6_hist_gradient_boosting_classifier,2440,0,2440,all,event_within_3_checkups
,,0.05380706069557769,0.15544500114656662,0.1554450011465666,W0_capacity_state,lead_time_bin,event_later_than_3_checkups,B6_hist_gradient_boosting_classifier,3139,0,3139,all,event_within_3_checkups
1.0,,0.27376948254233174,0.3700882755724428,0.3700882755724429,W0_capacity_state,lead_time_bin,event_next_checkup,B6_hist_gradient_boosting_classifier,0,506,506,all,event_within_3_checkups
1.0,,0.4881757538606655,0.617713133753406,0.6177131337534058,W0_capacity_state,lead_time_bin,event_within_2_checkups_not_next,B6_hist_gradient_boosting_classifier,0,506,506,all,event_within_3_checkups
1.0,,0.5606026562206997,0.6905188236883191,0.690518823688319,W0_capacity_state,lead_time_bin,event_within_3_checkups_not_1_or_2,B6_hist_gradient_boosting_classifier,0,427,427,all,event_within_3_checkups
,,0.024618540181712095,0.10559595116691073,0.10559595116691073,W0_capacity_state,lead_time_bin,right_censored_unknown,B6_hist_gradient_boosting_classifier,3347,0,3347,all,event_within_3_checkups
,,0.0025680570013004687,0.005678933479143468,0.0056789334791434685,W1_state_time,lead_time_bin,at_or_below_threshold_at_k,B6_hist_gradient_boosting_classifier,2440,0,2440,all,event_within_3_checkups
,,0.06032051929079312,0.10928271171050849,0.1092827117105085,W1_state_time,lead_time_bin,event_later_than_3_checkups,B6_hist_gradient_boosting_classifier,3139,0,3139,all,event_within_3_checkups
1.0,,0.05476432016542023,0.11323830614551163,0.11323830614551167,W1_state_time,lead_time_bin,event_next_checkup,B6_hist_gradient_boosting_classifier,0,506,506,all,event_within_3_checkups
1.0,,0.3399097809111534,0.424886935588892,0.42488693558889207,W1_state_time,lead_time_bin,event_within_2_checkups_not_next,B6_hist_gradient_boosting_classifier,0,506,506,all,event_within_3_checkups
1.0,,0.44239690885089017,0.5400307577083866,0.5400307577083867,W1_state_time,lead_time_bin,event_within_3_checkups_not_1_or_2,B6_hist_gradient_boosting_classifier,0,427,427,all,event_within_3_checkups
,,0.0036642388576214775,0.013922577615316534,0.01392257761531653,W1_state_time,lead_time_bin,right_censored_unknown,B6_hist_gradient_boosting_classifier,3347,0,3347,all,event_within_3_checkups
,,0.002041999136151568,0.007267509958266989,0.007267509958266987,W2_nominal,lead_time_bin,at_or_below_threshold_at_k,B6_hist_gradient_boosting_classifier,2440,0,2440,all,event_within_3_checkups
,,0.04367980735749312,0.08021796814325607,0.08021796814325605,W2_nominal,lead_time_bin,event_later_than_3_checkups,B6_hist_gradient_boosting_classifier,3139,0,3139,all,event_within_3_checkups
1.0,,0.13348154515563507,0.20694527522123163,0.20694527522123166,W2_nominal,lead_time_bin,event_next_checkup,B6_hist_gradient_boosting_classifier,0,506,506,all,event_within_3_checkups
1.0,,0.33125885070673605,0.4320878602423772,0.4320878602423771,W2_nominal,lead_time_bin,event_within_2_checkups_not_next,B6_hist_gradient_boosting_classifier,0,506,506,all,event_within_3_checkups
1.0,,0.5340843290832696,0.6270916794851211,0.6270916794851211,W2_nominal,lead_time_bin,event_within_3_checkups_not_1_or_2,B6_hist_gradient_boosting_classifier,0,427,427,all,event_within_3_checkups
,,0.0037907477866313375,0.008800503952261658,0.00880050395226166,W2_nominal,lead_time_bin,right_censored_unknown,B6_hist_gradient_boosting_classifier,3347,0,3347,all,event_within_3_checkups
