heldout_fold,negative_observed,positive_observed,right_censored_unknown,row_count,split_name,target
0,694,42,108,844,condition_fold,event_within_1_checkup
1,410,28,427,865,condition_fold,event_within_1_checkup
2,421,29,442,892,condition_fold,event_within_1_checkup
3,306,38,165,509,condition_fold,event_within_1_checkup
4,429,36,252,717,condition_fold,event_within_1_checkup
1,361,43,338,742,temperature_holdout_fold,event_within_1_checkup
2,799,49,212,1060,temperature_holdout_fold,event_within_1_checkup
1,116,32,9,157,c_rate_holdout_fold,event_within_1_checkup
1,716,36,0,752,profile_holdout_fold,event_within_1_checkup
1,1046,84,0,1130,voltage_window_holdout_fold,event_within_1_checkup
2,1106,85,180,1371,voltage_window_holdout_fold,event_within_1_checkup
3,108,4,1214,1326,voltage_window_holdout_fold,event_within_1_checkup
0,652,84,108,844,condition_fold,event_within_2_checkups
1,382,56,427,865,condition_fold,event_within_2_checkups
2,392,58,442,892,condition_fold,event_within_2_checkups
3,268,76,165,509,condition_fold,event_within_2_checkups
4,393,72,252,717,condition_fold,event_within_2_checkups
1,318,86,338,742,temperature_holdout_fold,event_within_2_checkups
2,750,98,212,1060,temperature_holdout_fold,event_within_2_checkups
1,84,64,9,157,c_rate_holdout_fold,event_within_2_checkups
1,680,72,0,752,profile_holdout_fold,event_within_2_checkups
1,962,168,0,1130,voltage_window_holdout_fold,event_within_2_checkups
2,1021,170,180,1371,voltage_window_holdout_fold,event_within_2_checkups
3,104,8,1214,1326,voltage_window_holdout_fold,event_within_2_checkups
0,611,125,108,844,condition_fold,event_within_3_checkups
1,357,81,427,865,condition_fold,event_within_3_checkups
2,366,84,442,892,condition_fold,event_within_3_checkups
3,239,105,165,509,condition_fold,event_within_3_checkups
4,366,99,252,717,condition_fold,event_within_3_checkups
1,288,116,338,742,temperature_holdout_fold,event_within_3_checkups
2,701,147,212,1060,temperature_holdout_fold,event_within_3_checkups
1,68,80,9,157,c_rate_holdout_fold,event_within_3_checkups
1,644,108,0,752,profile_holdout_fold,event_within_3_checkups
1,893,237,0,1130,voltage_window_holdout_fold,event_within_3_checkups
2,946,245,180,1371,voltage_window_holdout_fold,event_within_3_checkups
3,100,12,1214,1326,voltage_window_holdout_fold,event_within_3_checkups
