bin,bin_left,bin_right,feature_group,mean_probability,model_level,observed_rate,row_count,target
0,0.0,0.1,prior_rate,0.045324568165569075,B0_event_rate_prior,0.04881813796430294,10365,event_within_1_checkup
0,0.0,0.1,distance_to_threshold,0.012440175458665504,B1_distance_to_threshold_rule,0.014031413612565446,4775,event_within_1_checkup
7,0.7,0.8,distance_to_threshold,0.75,B1_distance_to_threshold_rule,0.07853309481216458,5590,event_within_1_checkup
0,0.0,0.1,distance_to_threshold,0.014179592708922986,B2_linear_extrapolation_to_threshold,0.0024650780608052587,6085,event_within_1_checkup
8,0.8,0.9,distance_to_threshold,0.8,B2_linear_extrapolation_to_threshold,0.1147196261682243,4280,event_within_1_checkup
0,0.0,0.1,distance_to_threshold,0.03800090859734599,B3_logistic_distance_baseline,0.037597857437165226,9708,event_within_1_checkup
1,0.1,0.2,distance_to_threshold,0.13283252781548474,B3_logistic_distance_baseline,0.23046875,512,event_within_1_checkup
2,0.2,0.3,distance_to_threshold,0.237766158929266,B3_logistic_distance_baseline,0.18292682926829268,82,event_within_1_checkup
3,0.3,0.4,distance_to_threshold,0.34530671499000143,B3_logistic_distance_baseline,0.16666666666666666,30,event_within_1_checkup
4,0.4,0.5,distance_to_threshold,0.45359510971817135,B3_logistic_distance_baseline,0.14285714285714285,21,event_within_1_checkup
5,0.5,0.6,distance_to_threshold,0.5520848783186975,B3_logistic_distance_baseline,0.0,8,event_within_1_checkup
6,0.6,0.7,distance_to_threshold,0.6185008980728247,B3_logistic_distance_baseline,0.0,3,event_within_1_checkup
7,0.7,0.8,distance_to_threshold,0.700289200841462,B3_logistic_distance_baseline,0.0,1,event_within_1_checkup
0,0.0,0.1,W0_capacity_state,0.04543105787006207,B4_logistic_regression,0.05039840637450199,10040,event_within_1_checkup
1,0.1,0.2,W0_capacity_state,0.13373575352930483,B4_logistic_regression,0.0,289,event_within_1_checkup
2,0.2,0.3,W0_capacity_state,0.22884892259391998,B4_logistic_regression,0.0,36,event_within_1_checkup
0,0.0,0.1,W1_state_time,0.03550080469427465,B4_logistic_regression,0.04152357165157665,9609,event_within_1_checkup
1,0.1,0.2,W1_state_time,0.12836673889482764,B4_logistic_regression,0.17011128775834658,629,event_within_1_checkup
2,0.2,0.3,W1_state_time,0.2372339821440593,B4_logistic_regression,0.0,73,event_within_1_checkup
3,0.3,0.4,W1_state_time,0.34615399292367066,B4_logistic_regression,0.0,28,event_within_1_checkup
