level,n,pearson,pulse_column,residual_column,scope,spearman
condition,76,0.8209340827919152,delta_pulse_1s_resistance,capacity_residual,all,0.45435406698564595
condition,76,0.9038339705986526,delta_pulse_1s_resistance,capacity_abs_residual,all,0.9053451811346548
condition,76,0.8551420372473407,delta_pulse_10ms_resistance,capacity_residual,all,0.49662337662337663
condition,76,0.893981608868468,delta_pulse_10ms_resistance,capacity_abs_residual,all,0.8909637730690362
condition,12,0.9298823331766394,delta_pulse_1s_resistance,capacity_residual,c_rate_holdout,0.9020979020979021
condition,12,0.8752351586128773,delta_pulse_1s_resistance,capacity_abs_residual,c_rate_holdout,0.9440559440559441
condition,12,0.9202622638144988,delta_pulse_10ms_resistance,capacity_residual,c_rate_holdout,0.9300699300699301
condition,12,0.860615670577235,delta_pulse_10ms_resistance,capacity_abs_residual,c_rate_holdout,0.9370629370629371
condition,12,0.9024586305645936,delta_pulse_1s_resistance,capacity_residual,cold_c_rate,0.8741258741258742
condition,12,0.7624737732494263,delta_pulse_1s_resistance,capacity_abs_residual,cold_c_rate,0.7762237762237763
condition,12,0.9026293849322727,delta_pulse_10ms_resistance,capacity_residual,cold_c_rate,0.8811188811188811
condition,12,0.7419402028960684,delta_pulse_10ms_resistance,capacity_abs_residual,cold_c_rate,0.7622377622377622
condition,28,0.8643070152239077,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_0_100,0.5856595511767926
condition,28,0.8858415349663309,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.8631636562671047
condition,28,0.9028545260345116,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_0_100,0.6310892172961139
condition,28,0.8923233149702734,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.8565955117679257
condition,16,0.9062018141923652,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_10_100,0.6147058823529412
condition,16,0.9393127506954823,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.9352941176470588
condition,16,0.9024491467589312,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_10_100,0.6147058823529412
condition,16,0.915985046866839,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.888235294117647
condition,12,0.8269839899330068,delta_pulse_1s_resistance,capacity_residual,profile_holdout,0.2867132867132867
condition,12,0.8970444716384594,delta_pulse_1s_resistance,capacity_abs_residual,profile_holdout,0.7202797202797203
condition,12,0.8230024095224341,delta_pulse_10ms_resistance,capacity_residual,profile_holdout,0.24475524475524477
condition,12,0.8849771397133313,delta_pulse_10ms_resistance,capacity_abs_residual,profile_holdout,0.7622377622377622
