level,n,pearson,pulse_column,residual_column,scope,spearman
interval,3751,0.47331544893705174,delta_pulse_1s_resistance,capacity_residual,all,0.0957740954366682
interval,3751,0.5932795382327274,delta_pulse_1s_resistance,capacity_abs_residual,all,0.30456690292681016
interval,3751,0.4919729879835716,delta_pulse_10ms_resistance,capacity_residual,all,0.10401411808308118
interval,3751,0.5768164531450949,delta_pulse_10ms_resistance,capacity_abs_residual,all,0.2735823351157531
interval,143,0.8056550680802802,delta_pulse_1s_resistance,capacity_residual,c_rate_holdout,0.5705579631635971
interval,143,0.7687829569000767,delta_pulse_1s_resistance,capacity_abs_residual,c_rate_holdout,0.4173068715322237
interval,143,0.7921517933066089,delta_pulse_10ms_resistance,capacity_residual,c_rate_holdout,0.5928871597885683
interval,143,0.7389942520997101,delta_pulse_10ms_resistance,capacity_abs_residual,c_rate_holdout,0.4006492333957123
interval,106,0.8075333015919578,delta_pulse_1s_resistance,capacity_residual,cold_c_rate,0.7096304506637781
interval,106,0.7427440994353157,delta_pulse_1s_resistance,capacity_abs_residual,cold_c_rate,0.5301911983273294
interval,106,0.7923687370715544,delta_pulse_10ms_resistance,capacity_residual,cold_c_rate,0.710789228405169
interval,106,0.7199373374552024,delta_pulse_10ms_resistance,capacity_abs_residual,cold_c_rate,0.5093432753104767
interval,1092,0.37282837954463566,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_0_100,0.048160528546083485
interval,1092,0.4467077117574673,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.3280657184073894
interval,1092,0.42156449825099435,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_0_100,0.0816176912181568
interval,1092,0.45228610091302734,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.3061350819620888
interval,502,0.7971521976329492,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_10_100,0.3695814947374701
interval,502,0.8137977670906428,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.3947710070421756
interval,502,0.7810826214671126,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_10_100,0.36393955848846604
interval,502,0.799155329881093,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.3748141207387447
interval,733,0.3760326744580933,delta_pulse_1s_resistance,capacity_residual,profile_holdout,0.13048207974431664
interval,733,0.39609120771254525,delta_pulse_1s_resistance,capacity_abs_residual,profile_holdout,0.17704617600194425
interval,733,0.4040091792491354,delta_pulse_10ms_resistance,capacity_residual,profile_holdout,0.12385574336011979
interval,733,0.38848488071654547,delta_pulse_10ms_resistance,capacity_abs_residual,profile_holdout,0.1877872201094099
