correlation,level,mean,p05,p50,p95,pulse_column,resamples,residual_column
pearson,interval,0.4732934646829888,0.3641237538415212,0.47649922250661925,0.5739145972776792,delta_pulse_1s_resistance,1000,capacity_residual
spearman,interval,0.09744225455564522,0.03305720466548748,0.09780339746491144,0.16199083520519494,delta_pulse_1s_resistance,1000,capacity_residual
pearson,interval,0.5926190327250871,0.5136913843358408,0.5929556107175744,0.6752526242637915,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,interval,0.30435921169607905,0.25098103603110095,0.30330865776718524,0.3617168809960859,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,interval,0.49123989581691063,0.3913486536353171,0.4934621679021336,0.5849494253652961,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,interval,0.1060064543045452,0.05081953028398363,0.10581526203073684,0.16112454604748389,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,interval,0.5753719993261355,0.48796181904158664,0.5774316451637478,0.6611116010779461,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,interval,0.27348202298726515,0.2249498852625639,0.27338287841718223,0.3231871736392217,delta_pulse_10ms_resistance,1000,capacity_abs_residual
pearson,condition,0.8114993060093552,0.700441989609729,0.8263625353576962,0.8847955255230313,delta_pulse_1s_resistance,1000,capacity_residual
spearman,condition,0.4536831168831169,0.253393028024607,0.4659603554340397,0.625485987696514,delta_pulse_1s_resistance,1000,capacity_residual
pearson,condition,0.906042960867558,0.8668740042635,0.9065058543545248,0.942243762702912,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,condition,0.8978114559125085,0.8545727956254272,0.9004784688995215,0.9331018455228982,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,condition,0.8473510065560907,0.7541981167800561,0.8582732450493623,0.9068583411730586,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,condition,0.4962748325358851,0.3108421052631579,0.5030348598769652,0.6524661654135337,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,condition,0.8953287545916543,0.8479194336528162,0.8971615836975884,0.9358481841980029,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,condition,0.8832562132604238,0.8291989063568012,0.8865345181134654,0.9265905673274095,delta_pulse_10ms_resistance,1000,capacity_abs_residual
