correlation,level,mean,p05,p50,p95,pulse_column,resamples,residual_column
pearson,interval,0.7930953803283021,0.6478389680905641,0.8059601041871245,0.8949491322049824,delta_pulse_1s_resistance,1000,capacity_residual
spearman,interval,0.5237989711035007,0.34693803970824116,0.5233386440764172,0.6897423718131496,delta_pulse_1s_resistance,1000,capacity_residual
pearson,interval,0.8439150173510765,0.7328539750312052,0.8525269316107664,0.922979983083239,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,interval,0.6346522653126068,0.4811091975750684,0.6377426907797462,0.7694959742675898,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,interval,0.78602011839293,0.651373329200015,0.7984059991428077,0.8873874546377833,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,interval,0.5463678980856641,0.3648935054802384,0.5462335332289984,0.7160731115232424,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,interval,0.8215330604931682,0.7081053743827388,0.8301658760295867,0.911037985735607,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,interval,0.6132857817742766,0.4481069493332269,0.6144364193405767,0.7697872760237218,delta_pulse_10ms_resistance,1000,capacity_abs_residual
pearson,condition,0.9546733097377185,0.9135687185170478,0.9584607078370464,0.9835877992890509,delta_pulse_1s_resistance,1000,capacity_residual
spearman,condition,0.9281188811188812,0.7832167832167832,0.951048951048951,1.0,delta_pulse_1s_resistance,1000,capacity_residual
pearson,condition,0.9596408081756485,0.9250508763445839,0.9611786002456784,0.9879115943099178,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,condition,0.9725734265734266,0.8951048951048951,0.993006993006993,1.0,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,condition,0.9497207680780939,0.9014054791346373,0.9546991450529612,0.9785609329258892,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,condition,0.9214755244755245,0.8041958041958042,0.9370629370629371,0.993006993006993,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,condition,0.9466614150465759,0.9020949374302271,0.9502658749617341,0.9791200553499024,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,condition,0.9321328671328671,0.8041958041958042,0.9475524475524475,1.0,delta_pulse_10ms_resistance,1000,capacity_abs_residual
