correlation,level,mean,p05,p50,p95,pulse_column,resamples,residual_column
pearson,interval,0.3593838913909068,0.2665205537235078,0.3608993110177847,0.44852848447307614,delta_pulse_1s_resistance,1000,capacity_residual
spearman,interval,0.04177662578678056,-0.017044198666672145,0.041339398304409074,0.10937304464144645,delta_pulse_1s_resistance,1000,capacity_residual
pearson,interval,0.48437286711026767,0.4112899803233893,0.4830661059778588,0.5567681463016857,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,interval,0.31198417114758664,0.2574502500474312,0.3118126746105213,0.36519372447819587,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,interval,0.3726841411732112,0.28564391045812443,0.37454688748904386,0.4586518491700611,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,interval,0.06946480607057386,0.01894230938080395,0.06928428049292018,0.12169254249817824,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,interval,0.464358910110457,0.38652014095617665,0.4651522576253583,0.5373025510776561,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,interval,0.2627498355136599,0.21718819743863838,0.26357887507725747,0.3110366836895553,delta_pulse_10ms_resistance,1000,capacity_abs_residual
pearson,condition,0.6196524161771743,0.46205916108603595,0.6336824695371699,0.7406232531458556,delta_pulse_1s_resistance,1000,capacity_residual
spearman,condition,0.3745665618591934,0.1853697881066302,0.3729186602870813,0.5561777170198222,delta_pulse_1s_resistance,1000,capacity_residual
pearson,condition,0.7725628191990459,0.6600052911196685,0.7805178261841985,0.8601613356080443,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,condition,0.7656577443609023,0.6705085440874915,0.7716883116883118,0.8476992481203007,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,condition,0.6274902975790876,0.4708431469204846,0.6420570772138265,0.7492839171943354,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,condition,0.3718283800410116,0.1804237867395762,0.3689542036910458,0.5552057416267941,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,condition,0.769231487233828,0.6567860280896868,0.7760187972090786,0.856740602874468,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,condition,0.7788497334244703,0.6919931647300068,0.7839097744360902,0.8522064251537935,delta_pulse_10ms_resistance,1000,capacity_abs_residual
