level,n,pearson,pulse_column,residual_column,scope,spearman
canonical_prediction_row,143,0.37517590455186994,delta_pulse_1s_resistance,capacity_residual,all,0.24271151383827444
canonical_prediction_row,143,0.6471249586381487,delta_pulse_1s_resistance,capacity_abs_residual,all,0.6467792770609673
canonical_prediction_row,143,0.3536840465726727,delta_pulse_10ms_resistance,capacity_residual,all,0.2577891591976099
canonical_prediction_row,143,0.6145946678104993,delta_pulse_10ms_resistance,capacity_abs_residual,all,0.63348271446863
canonical_prediction_row,143,0.37517590455186994,delta_pulse_1s_resistance,capacity_residual,c_rate_holdout,0.24271151383827444
canonical_prediction_row,143,0.6471249586381487,delta_pulse_1s_resistance,capacity_abs_residual,c_rate_holdout,0.6467792770609673
canonical_prediction_row,143,0.3536840465726727,delta_pulse_10ms_resistance,capacity_residual,c_rate_holdout,0.2577891591976099
canonical_prediction_row,143,0.6145946678104993,delta_pulse_10ms_resistance,capacity_abs_residual,c_rate_holdout,0.63348271446863
canonical_prediction_row,44,0.26888502173653644,delta_pulse_1s_resistance,capacity_residual,cold_c_rate,0.23044397463002117
canonical_prediction_row,44,0.5322972603062146,delta_pulse_1s_resistance,capacity_abs_residual,cold_c_rate,0.5866102889358704
canonical_prediction_row,44,0.24986642379186955,delta_pulse_10ms_resistance,capacity_residual,cold_c_rate,0.2422832980972516
canonical_prediction_row,44,0.5129389065479184,delta_pulse_10ms_resistance,capacity_abs_residual,cold_c_rate,0.5961945031712474
canonical_prediction_row,27,-0.028752782435061613,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_0_100,0.05433455433455434
canonical_prediction_row,27,0.384574662506616,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.3852258852258853
canonical_prediction_row,27,-0.04652122174089316,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_0_100,0.10683760683760685
canonical_prediction_row,27,0.38475862736562927,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.4841269841269842
canonical_prediction_row,33,0.7539610654164981,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_10_100,0.5919117647058824
canonical_prediction_row,33,0.8629585883241226,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.821524064171123
canonical_prediction_row,33,0.7371043110150184,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_10_100,0.6393716577540107
canonical_prediction_row,33,0.8389098780649237,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.830548128342246
canonical_prediction_row,0,nan,delta_pulse_1s_resistance,capacity_residual,profile_holdout,nan
canonical_prediction_row,0,nan,delta_pulse_1s_resistance,capacity_abs_residual,profile_holdout,nan
canonical_prediction_row,0,nan,delta_pulse_10ms_resistance,capacity_residual,profile_holdout,nan
canonical_prediction_row,0,nan,delta_pulse_10ms_resistance,capacity_abs_residual,profile_holdout,nan
