level,n,pearson,pulse_column,residual_column,scope,spearman
condition,12,0.825721213916499,delta_pulse_1s_resistance,capacity_residual,all,0.8251748251748252
condition,12,0.9035896766403009,delta_pulse_1s_resistance,capacity_abs_residual,all,0.8811188811188811
condition,12,0.8137917326075329,delta_pulse_10ms_resistance,capacity_residual,all,0.7342657342657343
condition,12,0.8962561635247625,delta_pulse_10ms_resistance,capacity_abs_residual,all,0.8461538461538461
condition,12,0.825721213916499,delta_pulse_1s_resistance,capacity_residual,c_rate_holdout,0.8251748251748252
condition,12,0.9035896766403009,delta_pulse_1s_resistance,capacity_abs_residual,c_rate_holdout,0.8811188811188811
condition,12,0.8137917326075329,delta_pulse_10ms_resistance,capacity_residual,c_rate_holdout,0.7342657342657343
condition,12,0.8962561635247625,delta_pulse_10ms_resistance,capacity_abs_residual,c_rate_holdout,0.8461538461538461
condition,6,0.8043326231838025,delta_pulse_1s_resistance,capacity_residual,cold_c_rate,0.8857142857142857
condition,6,0.8068012325099396,delta_pulse_1s_resistance,capacity_abs_residual,cold_c_rate,0.6571428571428571
condition,6,0.8437969603727958,delta_pulse_10ms_resistance,capacity_residual,cold_c_rate,0.8285714285714286
condition,6,0.7973885319202084,delta_pulse_10ms_resistance,capacity_abs_residual,cold_c_rate,0.5428571428571428
condition,4,0.5843981703037504,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_0_100,0.7999999999999998
condition,4,0.9102169909117239,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.7999999999999998
condition,4,0.6254204416241094,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_0_100,0.7999999999999998
condition,4,0.8848698388241277,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.7999999999999998
condition,4,0.9878938723233313,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_10_100,0.9999999999999998
condition,4,0.9139584849336053,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.9999999999999998
condition,4,0.9986407135198442,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_10_100,0.9999999999999998
condition,4,0.9526005090355849,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.9999999999999998
condition,0,nan,delta_pulse_1s_resistance,capacity_residual,profile_holdout,nan
condition,0,nan,delta_pulse_1s_resistance,capacity_abs_residual,profile_holdout,nan
condition,0,nan,delta_pulse_10ms_resistance,capacity_residual,profile_holdout,nan
condition,0,nan,delta_pulse_10ms_resistance,capacity_abs_residual,profile_holdout,nan
