correlation,level,mean,p05,p50,p95,pulse_column,resamples,residual_column
pearson,interval,0.3576041533093987,0.10328590141527134,0.3630797830435153,0.5988073612855813,delta_pulse_1s_resistance,1000,capacity_residual
spearman,interval,0.24056527326181076,0.06611363457578098,0.23187005492587667,0.42920156678150156,delta_pulse_1s_resistance,1000,capacity_residual
pearson,interval,0.6335553735682539,0.4944146548949322,0.6358452363608472,0.7616451708726402,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,interval,0.633413082143359,0.5086305075438906,0.6406532897110655,0.7350682857456241,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,interval,0.338442873971032,0.08936288388776328,0.34311141839574855,0.5837655803986992,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,interval,0.25386114929530457,0.06072844129775846,0.24760534234010378,0.46349347163996046,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,interval,0.6033543109428506,0.4749007712591498,0.603611094668103,0.7277319775389529,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,interval,0.6237387183530713,0.5020224763789007,0.6301035804250299,0.7287039045977726,delta_pulse_10ms_resistance,1000,capacity_abs_residual
pearson,condition,0.8167456551430289,0.6063846550488429,0.8354952838019524,0.9492086084013611,delta_pulse_1s_resistance,1000,capacity_residual
spearman,condition,0.7958111888111888,0.5174825174825175,0.8321678321678322,0.958041958041958,delta_pulse_1s_resistance,1000,capacity_residual
pearson,condition,0.9122289571161539,0.8425973235605132,0.9152481605313024,0.973977235214862,delta_pulse_1s_resistance,1000,capacity_abs_residual
spearman,condition,0.8532657342657343,0.6433566433566433,0.8741258741258742,0.972377622377622,delta_pulse_1s_resistance,1000,capacity_abs_residual
pearson,condition,0.8012871527921053,0.5840192897494477,0.8227905837750062,0.9364845640580612,delta_pulse_10ms_resistance,1000,capacity_residual
spearman,condition,0.7084545454545454,0.3706293706293706,0.7412587412587412,0.916083916083916,delta_pulse_10ms_resistance,1000,capacity_residual
pearson,condition,0.9068463075210917,0.8338351793699493,0.9075285913865827,0.97486748578126,delta_pulse_10ms_resistance,1000,capacity_abs_residual
spearman,condition,0.8202307692307693,0.5944055944055944,0.8391608391608392,0.9790209790209791,delta_pulse_10ms_resistance,1000,capacity_abs_residual
